park_id,resource_type,geometry
2556,Bottle Filling Station,"c(-79.504416537236, 43.7131804875432)"
2519,Bottle Filling Station,"c(-79.3841718184626, 43.6719250074994)"
688,Bottle Filling Station,"c(-79.493077649639, 43.716269601681)"
2179,Bottle Filling Station,"c(-79.4040463599085, 43.6574552330849)"
2179,Drinking Fountain,"c(-79.4040463599085, 43.6574552330849)"
158,Bottle Filling Station,"c(-79.4020517200731, 43.6560488156218)"
2339,Bottle Filling Station,"c(-79.3984821628996, 43.6568371012617)"
459,Bottle Filling Station,"c(-79.3415859772642, 43.6412976338098)"
459,Bottle Filling Station,"c(-79.3417198013687, 43.641274514614)"
250,Bottle Filling Station,"c(-79.4158986294454, 43.6708739497648)"
250,Drinking Fountain,"c(-79.4158986294454, 43.6708739497648)"
295,Bottle Filling Station,"c(-79.4192708143008, 43.6618883243317)"
295,Bottle Filling Station,"c(-79.4179983018392, 43.6602823769829)"
715,Bottle Filling Station,"c(-79.4826216440376, 43.6900121739827)"
341,Bottle Filling Station,"c(-79.3584033815972, 43.7883944239161)"
937,Drinking Fountain,"c(-79.3504920685181, 43.7812124557035)"
763,Bottle Filling Station,"c(-79.3158460461913, 43.7356504337942)"
2092,Bottle Filling Station,"c(-79.5076912369408, 43.7480283421126)"
641,Bottle Filling Station,"c(-79.3476202941945, 43.7830731196573)"
467,Bottle Filling Station,"c(-79.4048629030909, 43.6345616251365)"
2619,Bottle Filling Station,"c(-79.3995185331499, 43.6331922774473)"
2619,Drinking Fountain,"c(-79.3995185331499, 43.6331922774473)"
493,Bottle Filling Station,"c(-79.3547113067681, 43.8079988788953)"
493,Drinking Fountain,"c(-79.3547113067681, 43.8079988788953)"
194,Bottle Filling Station,"c(-79.3819203001536, 43.6605657792948)"
194,Drinking Fountain,"c(-79.3819203001536, 43.6605657792948)"
202,Bottle Filling Station,"c(-79.2944186870878, 43.7296655294458)"
335,Bottle Filling Station,"c(-79.4476261473233, 43.6368801606251)"
335,Drinking Fountain,"c(-79.4476261473233, 43.6368801606251)"
277,Bottle Filling Station,"c(-79.3755522888512, 43.6477749718222)"
408,Bottle Filling Station,"c(-79.3725026074668, 43.6511840694314)"
300,Bottle Filling Station,"c(-79.3718146877968, 43.6664242556017)"
471,Bottle Filling Station,"c(-79.4308348395807, 43.6304441333237)"
471,Drinking Fountain,"c(-79.4308348395807, 43.6304441333237)"
3715,Bottle Filling Station,"c(-79.3755438210559, 43.6545715587647)"
3715,Drinking Fountain,"c(-79.3755438210559, 43.6545715587647)"
3715,Dog Fountain,"c(-79.3755438210559, 43.6545715587647)"
3741,Bottle Filling Station,"c(-79.3290506546912, 43.7743215125447)"
3741,Drinking Fountain,"c(-79.3290506546912, 43.7743215125447)"
2036,Bottle Filling Station,"c(-79.2807158844275, 43.7475946907297)"
2725,Bottle Filling Station,"c(-79.3736397172968, 43.6187325721533)"
2725,Drinking Fountain,"c(-79.3736397172968, 43.6187325721533)"
2725,Bottle Filling Station,"c(-79.3723645043731, 43.6169645534951)"
2725,Drinking Fountain,"c(-79.3723645043731, 43.6169645534951)"
978,Bottle Filling Station,"c(-79.2853923888306, 43.6926359682783)"
344,Bottle Filling Station,"c(-79.36168527473, 43.6662709292599)"
344,Drinking Fountain,"c(-79.36168527473, 43.6662709292599)"
344,Bottle Filling Station,"c(-79.3606628807145, 43.6667058293797)"
344,Drinking Fountain,"c(-79.3606628807145, 43.6667058293797)"
3742,Bottle Filling Station,"c(-79.3434506791694, 43.7800823103762)"
3742,Drinking Fountain,"c(-79.3434506791694, 43.7800823103762)"
3738,Bottle Filling Station,"c(-79.3320972637388, 43.7742047109685)"
3738,Drinking Fountain,"c(-79.3320972637388, 43.7742047109685)"
3739,Bottle Filling Station,"c(-79.38625063256, 43.7999325104505)"
1051,Bottle Filling Station,"c(-79.2842222538912, 43.701045193082)"
733,Bottle Filling Station,"c(-79.2839946698319, 43.6972617077137)"
1496,Bottle Filling Station,"c(-79.2790953083871, 43.6928803661664)"
77,Bottle Filling Station,"c(-79.4660993090496, 43.6528661489142)"
77,Drinking Fountain,"c(-79.4660993090496, 43.6528661489142)"
77,Dog Fountain,"c(-79.4660993090496, 43.6528661489142)"
741,Bottle Filling Station,"c(-79.2534381544156, 43.7095414957177)"
1017,Bottle Filling Station,"c(-79.2555284331617, 43.7142155871391)"
2441,Bottle Filling Station,"c(-79.3223434740459, 43.6516028098282)"
1100,Bottle Filling Station,"c(-79.2510163055825, 43.6997162998745)"
3671,Bottle Filling Station,"c(-79.2793436898017, 43.7180913187347)"
2155,Bottle Filling Station,"c(-79.2565035891839, 43.7738536169048)"
543,Bottle Filling Station,"c(-79.2552002635988, 43.7562137780297)"
856,Bottle Filling Station,"c(-79.5148478667909, 43.6336427577722)"
121,Bottle Filling Station,"c(-79.3954298486177, 43.6914200172395)"
121,Drinking Fountain,"c(-79.3954298486177, 43.6914200172395)"
393,Bottle Filling Station,"c(-79.4160185759705, 43.6833458648558)"
393,Drinking Fountain,"c(-79.4160185759705, 43.6833458648558)"
798,Bottle Filling Station,"c(-79.592458255241, 43.659618258022)"
73,Drinking Fountain,"c(-79.4183686908528, 43.6590708689315)"
73,Dog Fountain,"c(-79.4183686908528, 43.6590708689315)"
982,Drinking Fountain,"c(-79.4535652481643, 43.7228347534362)"
678,Drinking Fountain,"c(-79.4253666394538, 43.726951604814)"
265,Drinking Fountain,"c(-79.3920063140451, 43.7292079434182)"
265,Dog Fountain,"c(-79.3920063140451, 43.7292079434182)"
659,Drinking Fountain,"c(-79.4212126534532, 43.7809481598705)"
2147,Drinking Fountain,"c(-79.4124996422704, 43.7818683483889)"
644,Drinking Fountain,"c(-79.4225294798914, 43.7915826189632)"
67,Drinking Fountain,"c(-79.3198517797466, 43.6653895289883)"
521,Drinking Fountain,"c(-79.3836965339925, 43.8027172413457)"
276,Bottle Filling Station,"c(-79.3071122283356, 43.7098036332993)"
276,Drinking Fountain,"c(-79.3071122283356, 43.7098036332993)"
594,Bottle Filling Station,"c(-79.2049627841657, 43.7386418216678)"
127,Bottle Filling Station,"c(-79.3158057600934, 43.6752347821592)"
127,Drinking Fountain,"c(-79.3158057600934, 43.6752347821592)"
3628,Bottle Filling Station,"c(-79.3850050885105, 43.7053392662359)"
378,Bottle Filling Station,"c(-79.4414482006721, 43.6533807000531)"
378,Drinking Fountain,"c(-79.4414482006721, 43.6533807000531)"
200,Bottle Filling Station,"c(-79.4084871515109, 43.6843617970928)"
200,Drinking Fountain,"c(-79.4084871515109, 43.6843617970928)"
200,Dog Fountain,"c(-79.4084871515109, 43.6843617970928)"
421,Bottle Filling Station,"c(-79.3151590299608, 43.6983630663549)"
1026,Bottle Filling Station,"c(-79.3974632021107, 43.7642382374807)"
640,Bottle Filling Station,"c(-79.3999799730403, 43.7613640886258)"
665,Bottle Filling Station,"c(-79.4557814460992, 43.7619210071364)"
665,Drinking Fountain,"c(-79.4557814460992, 43.7619210071364)"
665,Dog Fountain,"c(-79.4557814460992, 43.7619210071364)"
190,Bottle Filling Station,"c(-79.4557447414831, 43.6573783535461)"
590,Bottle Filling Station,"c(-79.2100085104548, 43.7879038676446)"
426,Bottle Filling Station,"c(-79.3008436342218, 43.7006429842604)"
426,Drinking Fountain,"c(-79.3008436342218, 43.7006429842604)"
429,Bottle Filling Station,"c(-79.2976035253034, 43.7036022917691)"
257,Bottle Filling Station,"c(-79.4701170059898, 43.6667422670111)"
3609,Bottle Filling Station,"c(-79.5336430688776, 43.5957790818955)"
2247,Bottle Filling Station,"c(-79.4530252244366, 43.7156051009718)"
2247,Drinking Fountain,"c(-79.4530252244366, 43.7156051009718)"
2247,Dog Fountain,"c(-79.4530252244366, 43.7156051009718)"
431,Bottle Filling Station,"c(-79.3121039658203, 43.6648567153536)"
168,Bottle Filling Station,"c(-79.3822227259347, 43.6937360452336)"
3790,Bottle Filling Station,"c(-79.4530395147607, 43.6604866877723)"
161,Bottle Filling Station,"c(-79.4141228819865, 43.6758334935077)"
448,Bottle Filling Station,"c(-79.4207974924396, 43.7189049754936)"
711,Bottle Filling Station,"c(-79.4218953900386, 43.7304187293818)"
77,Bottle Filling Station,"c(-79.467595057652, 43.6511308116651)"
1470,Bottle Filling Station,"c(-79.1971769065812, 43.7777649220111)"
2753,Bottle Filling Station,"c(-79.4018706038707, 43.7214764654284)"
2753,Drinking Fountain,"c(-79.4018706038707, 43.7214764654284)"
1470,Bottle Filling Station,"c(-79.2017678517562, 43.77764123812)"
798,Bottle Filling Station,"c(-79.5850914405518, 43.6534186796919)"
208,Bottle Filling Station,"c(-79.4136261736727, 43.6907237683801)"
208,Drinking Fountain,"c(-79.4136261736727, 43.6907237683801)"
337,Bottle Filling Station,"c(-79.4306749698349, 43.7562602268272)"
78,Bottle Filling Station,"c(-79.3881567806541, 43.7009938054932)"
2103,Bottle Filling Station,"c(-79.3980505894124, 43.6774996325237)"
2103,Drinking Fountain,"c(-79.3980505894124, 43.6774996325237)"
174,Bottle Filling Station,"c(-79.3397995649141, 43.6568157882309)"
167,Bottle Filling Station,"c(-79.3899386509036, 43.6766309619168)"
167,Drinking Fountain,"c(-79.3899386509036, 43.6766309619168)"
427,Bottle Filling Station,"c(-79.2897582856394, 43.6689235876093)"
427,Drinking Fountain,"c(-79.2897582856394, 43.6689235876093)"
167,Bottle Filling Station,"c(-79.3911267623614, 43.6762115390482)"
167,Drinking Fountain,"c(-79.3911267623614, 43.6762115390482)"
167,Bottle Filling Station,"c(-79.3962522906885, 43.6758292210299)"
167,Drinking Fountain,"c(-79.3962522906885, 43.6758292210299)"
167,Bottle Filling Station,"c(-79.3948043189732, 43.676197456878)"
77,Bottle Filling Station,"c(-79.4576691120211, 43.6433434237751)"
167,Bottle Filling Station,"c(-79.3924166424586, 43.6767896288218)"
167,Drinking Fountain,"c(-79.3924166424586, 43.6767896288218)"
77,Bottle Filling Station,"c(-79.4575697621891, 43.6442812319155)"
375,Bottle Filling Station,"c(-79.3909592714556, 43.6725902934157)"
1009,Bottle Filling Station,"c(-79.5271718418708, 43.6558840533081)"
845,Bottle Filling Station,"c(-79.5205017407153, 43.6576711533278)"
2674,Bottle Filling Station,"c(-79.3924481863973, 43.6648834357317)"
2674,Drinking Fountain,"c(-79.3924481863973, 43.6648834357317)"
77,Bottle Filling Station,"c(-79.4668116144535, 43.64276820327)"
93,Bottle Filling Station,"c(-79.4021812650708, 43.66941308872)"
93,Drinking Fountain,"c(-79.4021812650708, 43.66941308872)"
93,Dog Fountain,"c(-79.4021812650708, 43.66941308872)"
93,Bottle Filling Station,"c(-79.334707405287, 43.6918137974457)"
3,Bottle Filling Station,"c(-79.5147466207548, 43.6715588811134)"
145,Bottle Filling Station,"c(-79.3253989410806, 43.6773208772916)"
307,Bottle Filling Station,"c(-79.3786272059284, 43.6996577343619)"
307,Drinking Fountain,"c(-79.3786272059284, 43.6996577343619)"
2598,Bottle Filling Station,"c(-79.3858622696314, 43.7670091327449)"
2283,Bottle Filling Station,"c(-79.3168299221036, 43.6634602740029)"
306,Bottle Filling Station,"c(-79.3481684212604, 43.676039765922)"
114,Bottle Filling Station,"c(-79.3414286132817, 43.6804749508524)"
114,Drinking Fountain,"c(-79.3414286132817, 43.6804749508524)"
3733,Bottle Filling Station,"c(-79.3494986211099, 43.6787731956712)"
3733,Drinking Fountain,"c(-79.3494986211099, 43.6787731956712)"
71,Bottle Filling Station,"c(-79.4687322695819, 43.6338073675783)"
71,Drinking Fountain,"c(-79.4687322695819, 43.6338073675783)"
1449,Bottle Filling Station,"c(-79.3657103683898, 43.6845315468058)"
1449,Drinking Fountain,"c(-79.3657103683898, 43.6845315468058)"
1449,Dog Fountain,"c(-79.3657103683898, 43.6845315468058)"
2663,Bottle Filling Station,"c(-79.4732011939659, 43.6726216496475)"
2663,Drinking Fountain,"c(-79.4732011939659, 43.6726216496475)"
1501,Bottle Filling Station,"c(-79.3542564854109, 43.7134204921742)"
832,Bottle Filling Station,"c(-79.4809409271624, 43.6713601247299)"
832,Drinking Fountain,"c(-79.4809409271624, 43.6713601247299)"
376,Drinking Fountain,"c(-79.417047544861, 43.641831578984)"
376,Dog Fountain,"c(-79.417047544861, 43.641831578984)"
343,Bottle Filling Station,"c(-79.3567611726158, 43.6724348288965)"
540,Bottle Filling Station,"c(-79.1400297529208, 43.781180930298)"
1094,Bottle Filling Station,"c(-79.134602320406, 43.7762958413766)"
1448,Bottle Filling Station,"c(-79.4926770135721, 43.6709919643275)"
1448,Drinking Fountain,"c(-79.4926770135721, 43.6709919643275)"
831,Bottle Filling Station,"c(-79.4775143605207, 43.6759820233069)"
831,Drinking Fountain,"c(-79.4775143605207, 43.6759820233069)"
2308,Drinking Fountain,"c(-79.4181241281401, 43.7260158001511)"
1044,Drinking Fountain,"c(-79.3697243020333, 43.7812476605407)"
2404,Drinking Fountain,"c(-79.4107582971031, 43.7772418657923)"
2238,Drinking Fountain,"c(-79.4283023127123, 43.7235252826233)"
131,Drinking Fountain,"c(-79.4228255863443, 43.7050559846556)"
2725,Drinking Fountain,"c(-79.3718964972067, 43.618241737487)"
2725,Drinking Fountain,"c(-79.3732195315379, 43.6174651193868)"
2725,Drinking Fountain,"c(-79.3722952774592, 43.6168853078436)"
2543,Drinking Fountain,"c(-79.3752497449743, 43.6228672714286)"
